VIC,ShortName,Description,HorizontalActive,VerticalActive,VerticalHz,PixelMHz,HorizontalTotal,VerticalTotal,Native,,,,,,,,,,,
146,576pH,720x576p @ 50Hz ,720,576,50,27,864,625,yes,,,,,,,,,,,
147,720p50,1280x720p @ 50Hz,1280,720,50,74.25,1980,750,yes,,,,,,,,,,,
148,1080i25,1920x1080i @ 50Hz ,1920,540,50,74.25,2640,562.5,yes,,,,,,,,,,,
149,576i,720(1440)x576i @ 50Hz ,1440,288,50,27,1728,312.5,yes,,,,,,,,,,,
150,576iH,720(1440)x576i @ 50Hz ,1440,288,50,27,1728,312.5,yes,,,,,,,,,,,
151,288p,720(1440)x288p @ 50Hz ,1440,288,50,27,1728,313,yes,,,,,,,,,,,
152,288pH,720(1440)x288p @ 50Hz ,1440,288,50,27,1728,313,yes,,,,,,,,,,,
153,576i4x,2880x576i @ 50Hz,2880,288,50,54,3456,312.5,yes,,,,,,,,,,,
154,576i4xH,2880x576i @ 50Hz,2880,288,50,54,3456,312.5,yes,,,,,,,,,,,
155,288p4x,2880x288p @ 50Hz,2880,288,50,54,3456,313,yes,,,,,,,,,,,
156,288p4xH,2880x288p @ 50Hz,2880,288,50,54,3456,313,yes,,,,,,,,,,,
157,576p2x,1440x576p @ 50Hz,1440,576,50,54,1728,625,yes,,,,,,,,,,,
158,576p2xH,1440x576p @ 50Hz,1440,576,50,54,1728,625,yes,,,,,,,,,,,
159,1080p50,1920x1080p @ 50Hz ,1920,1080,50,148.5,2640,1125,yes,,,,,,,,,,,
160,1080p24,1920x1080p @ 23.98/24Hz ,1920,1080,23.98/24,74.25,2750,1125,yes,,,,,,,,,,,
161,1080p25,1920x1080p @ 25Hz ,1920,1080,25,74.25,2640,1125,yes,,,,,,,,,,,
162,1080p30,1920x1080p @ 29.98/30Hz ,1920,1080,29.97/30,74.25,2200,1125,yes,,,,,,,,,,,
163,480p4x,2880x480p @ 59.94/60Hz ,2880,240,59.94,108,3432,262.5,yes,,,,,,,,,,,
164,480p4xH,2880x480p @ 59.94/60Hz ,2880,240,59.94,108,3432,262.5,yes,,,,,,,,,,,
165,576p4x,2880x576p @ 50Hz,2880,576,50,108,3456,625,yes,,,,,,,,,,,
166,576p4xH,2880x576p @ 50Hz,2880,576,50,108,3456,625,yes,,,,,,,,,,,
167,1080i25,1920x1080i (1250) @ 50Hz ,1920,540,50,72,2304,625,yes,,,,,,,,,,,
168,1080i50,1920x1080i @ 100Hz ,1920,540,100,148.5,2640,562.5,yes,,,,,,,,,,,
169,720p100,1280x720p @ 100Hz,1280,720,100,148.5,1980,750,yes,,,,,,,,,,,
170,576p100,720x576p @ 100Hz ,720,576,100,54,864,625,yes,,,,,,,,,,,
171,576p100H,720x576p @ 100Hz ,720,576,100,54,864,625,yes,,,,,,,,,,,
172,576i50,720(1440)x576i @ 100Hz ,1440,576,100,54,1728,625,yes,,,,,,,,,,,
173,576i50H,720(1440)x576i @ 100Hz ,1440,576,100,54,1728,625,yes,,,,,,,,,,,
174,1080i60,1920x1080i @ 119.88/120Hz ,1920,540,119.88/120,148.5,2200,562.5,yes,,,,,,,,,,,
175,720p120,1280x720p @ 119.88/120Hz ,1280,720,119.88/120,148.5,1650,750,yes,,,,,,,,,,,
176,480p119,720x480p @ 119.88/120Hz ,720,576,119.88/120,54,858,525,yes,,,,,,,,,,,
177,480p119H,720x480p @ 119.88/120Hz ,720,576,119.88/120,54,858,525,yes,,,,,,,,,,,
178,480i59,720(1440)x480i @ 119.88/120Hz ,1440,576,119.88/120,54,1716,525,yes,,,,,,,,,,,
179,480i59H,720(1440)x480i @ 119.88/120Hz ,1440,576,119.88/120,54,1716,525,yes,,,,,,,,,,,
180,576p200,720x576p @ 200Hz ,720,576,200,108,864,625,yes,,,,,,,,,,,
181,576p200H,720x576p @ 200Hz ,720,576,200,108,864,625,yes,,,,,,,,,,,
182,576i100,720(1440)x576i @ 200Hz ,1440,288,200,108,1728,312.5,yes,,,,,,,,,,,
183,576i100H,720(1440)x576i @ 200Hz ,1440,288,200,108,1728,312.5,yes,,,,,,,,,,,
184,480p239,720x480p @ 239.76/240Hz ,720,480,239.76,108,858,525,yes,,,,,,,,,,,
185,480p239H,720x480p @ 239.76/240Hz ,720,480,239.76,108,858,525,yes,,,,,,,,,,,
186,480i119,720(1440)x480i @ 239.76/240Hz ,1440,240,239.76,108,1716,262.5,yes,,,,,,,,,,,
187,480i119H,720(1440)x480i @ 239.76/240Hz ,1440,240,239.76,108,1716,262.5,yes,,,,,,,,,,,
188,720p24,1280x720p @ 23.98Hz/24Hz ,1280,720,24,59.4,3300,750,yes,,,,,,,,,,,
189,720p25,1280x720p @ 25Hz ,1280,720,25,74.25,3960,750,yes,,,,,,,,,,,
190,720p30,1280x720p @ 29.97Hz/30Hz ,1280,720,29.97/30,74.25,3300,750,yes,,,,,,,,,,,
191,1080p120,1920x1080p @ 119.88Hz/120Hz ,1920,1080,119.88/120,297,2200,1125,yes,,,,,,,,,,,
192,1080p100,1920x1080p @ 100Hz ,1920,1080,100,297,2640,1125,yes,,,,,,,,,,,
193,2160p2x120,5120x2160p @ 119.88/120Hz ,5120,2160,119.88/120,1485,5500,2250,no,,,,,,,,,,,
194,4320p24,7680x4320p @ 23.98Hz/24Hz ,7680,4320,23.98/24,1188,11000,4500,no,,,,,,,,,,,
195,4320p25,7680x4320p @ 25Hz ,7680,4320,25,1188,10800,4400,no,,,,,,,,,,,
